"Label","Ada County, Idaho!!Estimate","Ada County, Idaho!!Percent","Adams County, Idaho!!Estimate","Adams County, Idaho!!Percent","Bannock County, Idaho!!Estimate","Bannock County, Idaho!!Percent","Bear Lake County, Idaho!!Estimate","Bear Lake County, Idaho!!Percent","Benewah County, Idaho!!Estimate","Benewah County, Idaho!!Percent","Bingham County, Idaho!!Estimate","Bingham County, Idaho!!Percent","Blaine County, Idaho!!Estimate","Blaine County, Idaho!!Percent","Boise County, Idaho!!Estimate","Boise County, Idaho!!Percent","Bonner County, Idaho!!Estimate","Bonner County, Idaho!!Percent","Bonneville County, Idaho!!Estimate","Bonneville County, Idaho!!Percent","Boundary County, Idaho!!Estimate","Boundary County, Idaho!!Percent","Butte County, Idaho!!Estimate","Butte County, Idaho!!Percent","Camas County, Idaho!!Estimate","Camas County, Idaho!!Percent","Canyon County, Idaho!!Estimate","Canyon County, Idaho!!Percent","Caribou County, Idaho!!Estimate","Caribou County, Idaho!!Percent","Cassia County, Idaho!!Estimate","Cassia County, Idaho!!Percent","Clark County, Idaho!!Estimate","Clark County, Idaho!!Percent","Clearwater County, Idaho!!Estimate","Clearwater County, Idaho!!Percent","Custer County, Idaho!!Estimate","Custer County, Idaho!!Percent","Elmore County, Idaho!!Estimate","Elmore County, Idaho!!Percent","Franklin County, Idaho!!Estimate","Franklin County, Idaho!!Percent","Fremont County, Idaho!!Estimate","Fremont County, Idaho!!Percent","Gem County, Idaho!!Estimate","Gem County, Idaho!!Percent","Gooding County, Idaho!!Estimate","Gooding County, Idaho!!Percent","Idaho County, Idaho!!Estimate","Idaho County, Idaho!!Percent","Jefferson County, Idaho!!Estimate","Jefferson County, Idaho!!Percent","Jerome County, Idaho!!Estimate","Jerome County, Idaho!!Percent","Kootenai County, Idaho!!Estimate","Kootenai County, Idaho!!Percent","Latah County, Idaho!!Estimate","Latah County, Idaho!!Percent","Lemhi County, Idaho!!Estimate","Lemhi County, Idaho!!Percent","Lewis County, Idaho!!Estimate","Lewis County, Idaho!!Percent","Lincoln County, Idaho!!Estimate","Lincoln County, Idaho!!Percent","Madison County, Idaho!!Estimate","Madison County, Idaho!!Percent","Minidoka County, Idaho!!Estimate","Minidoka County, Idaho!!Percent","Nez Perce County, Idaho!!Estimate","Nez Perce County, Idaho!!Percent","Oneida County, Idaho!!Estimate","Oneida County, Idaho!!Percent","Owyhee County, Idaho!!Estimate","Owyhee County, Idaho!!Percent","Payette County, Idaho!!Estimate","Payette County, Idaho!!Percent","Power County, Idaho!!Estimate","Power County, Idaho!!Percent","Shoshone County, Idaho!!Estimate","Shoshone County, Idaho!!Percent","Teton County, Idaho!!Estimate","Teton County, Idaho!!Percent","Twin Falls County, Idaho!!Estimate","Twin Falls County, Idaho!!Percent","Valley County, Idaho!!Estimate","Valley County, Idaho!!Percent","Washington County, Idaho!!Estimate","Washington County, Idaho!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","456,849","456,849","4,097","4,097","85,765","85,765","6,000","6,000","9,138","9,138","45,839","45,839","22,373","22,373","7,378","7,378","43,611","43,611","114,392","114,392","11,845","11,845","2,581","2,581","1,048","1,048","217,633","217,633","6,953","6,953","23,690","23,690","913","913","8,673","8,673","4,169","4,169","26,743","26,743","13,464","13,464","13,020","13,020","17,331","17,331","15,148","15,148","16,411","16,411","28,534","28,534","23,730","23,730","157,322","157,322","39,505","39,505","7,847","7,847","3,838","3,838","5,350","5,350","39,100","39,100","20,705","20,705","40,217","40,217","4,385","4,385","11,552","11,552","23,260","23,260","7,671","7,671","12,609","12,609","11,426","11,426","84,869","84,869","10,709","10,709","10,057","10,057"
"        Male","228,886","50.1%","2,112","51.5%","42,727","49.8%","2,958","49.3%","4,620","50.6%","22,914","50.0%","11,521","51.5%","3,779","51.2%","21,751","49.9%","57,322","50.1%","5,921","50.0%","1,359","52.7%","497","47.4%","107,672","49.5%","3,570","51.3%","12,047","50.9%","480","52.6%","4,831","55.7%","2,147","51.5%","14,059","52.6%","6,915","51.4%","6,752","51.9%","8,616","49.7%","7,773","51.3%","8,629","52.6%","14,526","50.9%","11,982","50.5%","77,730","49.4%","20,254","51.3%","3,987","50.8%","1,900","49.5%","2,805","52.4%","19,881","50.8%","10,345","50.0%","19,834","49.3%","2,146","48.9%","5,952","51.5%","11,544","49.6%","3,881","50.6%","6,298","49.9%","5,972","52.3%","41,795","49.2%","5,411","50.5%","4,924","49.0%"
"        Female","227,963","49.9%","1,985","48.5%","43,038","50.2%","3,042","50.7%","4,518","49.4%","22,925","50.0%","10,852","48.5%","3,599","48.8%","21,860","50.1%","57,070","49.9%","5,924","50.0%","1,222","47.3%","551","52.6%","109,961","50.5%","3,383","48.7%","11,643","49.1%","433","47.4%","3,842","44.3%","2,022","48.5%","12,684","47.4%","6,549","48.6%","6,268","48.1%","8,715","50.3%","7,375","48.7%","7,782","47.4%","14,008","49.1%","11,748","49.5%","79,592","50.6%","19,251","48.7%","3,860","49.2%","1,938","50.5%","2,545","47.6%","19,219","49.2%","10,360","50.0%","20,383","50.7%","2,239","51.1%","5,600","48.5%","11,716","50.4%","3,790","49.4%","6,311","50.1%","5,454","47.7%","43,074","50.8%","5,298","49.5%","5,133","51.0%"
"        Sex ratio (males per 100 females)","100.4","(X)","106.4","(X)","99.3","(X)","97.2","(X)","102.3","(X)","100.0","(X)","106.2","(X)","105.0","(X)","99.5","(X)","100.4","(X)","99.9","(X)","111.2","(X)","90.2","(X)","97.9","(X)","105.5","(X)","103.5","(X)","110.9","(X)","125.7","(X)","106.2","(X)","110.8","(X)","105.6","(X)","107.7","(X)","98.9","(X)","105.4","(X)","110.9","(X)","103.7","(X)","102.0","(X)","97.7","(X)","105.2","(X)","103.3","(X)","98.0","(X)","110.2","(X)","103.4","(X)","99.9","(X)","97.3","(X)","95.8","(X)","106.3","(X)","98.5","(X)","102.4","(X)","99.8","(X)","109.5","(X)","97.0","(X)","102.1","(X)","95.9","(X)"
"        Under 5 years","26,723","5.8%","153","3.7%","6,220","7.3%","411","6.9%","529","5.8%","3,490","7.6%","1,165","5.2%","240","3.3%","2,125","4.9%","9,713","8.5%","747","6.3%","152","5.9%","74","7.1%","16,407","7.5%","466","6.7%","1,948","8.2%","67","7.3%","311","3.6%","132","3.2%","2,113","7.9%","1,017","7.6%","830","6.4%","977","5.6%","1,032","6.8%","771","4.7%","2,429","8.5%","2,030","8.6%","9,409","6.0%","2,017","5.1%","392","5.0%","209","5.4%","369","6.9%","3,847","9.8%","1,580","7.6%","2,368","5.9%","272","6.2%","760","6.6%","1,521","6.5%","566","7.4%","802","6.4%","727","6.4%","6,275","7.4%","482","4.5%","493","4.9%"
"        5 to 9 years","29,763","6.5%","211","5.2%","6,187","7.2%","527","8.8%","560","6.1%","4,290","9.4%","1,331","5.9%","229","3.1%","2,424","5.6%","10,143","8.9%","807","6.8%","233","9.0%","95","9.1%","17,333","8.0%","611","8.8%","2,101","8.9%","87","9.5%","359","4.1%","192","4.6%","2,306","8.6%","1,115","8.3%","925","7.1%","820","4.7%","1,367","9.0%","829","5.1%","2,637","9.2%","1,968","8.3%","10,931","6.9%","2,006","5.1%","495","6.3%","249","6.5%","522","9.8%","2,594","6.6%","1,987","9.6%","2,380","5.9%","413","9.4%","880","7.6%","1,839","7.9%","678","8.8%","680","5.4%","966","8.5%","6,631","7.8%","419","3.9%","900","8.9%"
"        10 to 14 years","33,578","7.3%","210","5.1%","6,379","7.4%","357","6.0%","600","6.6%","4,054","8.8%","1,526","6.8%","484","6.6%","2,544","5.8%","9,881","8.6%","710","6.0%","156","6.0%","68","6.5%","18,615","8.6%","580","8.3%","2,270","9.6%","51","5.6%","410","4.7%","185","4.4%","1,331","5.0%","1,430","10.6%","976","7.5%","1,469","8.5%","1,019","6.7%","1,048","6.4%","2,960","10.4%","2,242","9.4%","9,541","6.1%","2,161","5.5%","346","4.4%","264","6.9%","403","7.5%","2,607","6.7%","1,378","6.7%","2,326","5.8%","407","9.3%","826","7.2%","1,824","7.8%","709","9.2%","642","5.1%","750","6.6%","6,926","8.2%","608","5.7%","567","5.6%"
"        15 to 19 years","31,299","6.9%","177","4.3%","6,535","7.6%","423","7.1%","551","6.0%","3,597","7.8%","1,472","6.6%","515","7.0%","2,456","5.6%","8,314","7.3%","836","7.1%","86","3.3%","61","5.8%","16,751","7.7%","506","7.3%","1,909","8.1%","102","11.2%","444","5.1%","243","5.8%","1,534","5.7%","1,189","8.8%","1,089","8.4%","1,055","6.1%","1,101","7.3%","860","5.2%","2,350","8.2%","1,691","7.1%","9,778","6.2%","4,016","10.2%","411","5.2%","214","5.6%","427","8.0%","4,548","11.6%","1,513","7.3%","2,446","6.1%","293","6.7%","875","7.6%","1,539","6.6%","459","6.0%","663","5.3%","676","5.9%","5,755","6.8%","419","3.9%","607","6.0%"
"        20 to 24 years","27,631","6.0%","137","3.3%","6,178","7.2%","306","5.1%","415","4.5%","2,865","6.3%","1,020","4.6%","163","2.2%","1,801","4.1%","7,068","6.2%","589","5.0%","42","1.6%","18","1.7%","14,637","6.7%","386","5.6%","1,469","6.2%","56","6.1%","375","4.3%","222","5.3%","2,695","10.1%","766","5.7%","788","6.1%","1,048","6.0%","888","5.9%","803","4.9%","1,714","6.0%","1,388","5.8%","8,666","5.5%","6,988","17.7%","278","3.5%","186","4.8%","268","5.0%","9,159","23.4%","1,306","6.3%","2,683","6.7%","264","6.0%","670","5.8%","1,271","5.5%","296","3.9%","621","4.9%","605","5.3%","5,251","6.2%","261","2.4%","369","3.7%"
