"Label","Adams County, Nebraska!!Estimate","Adams County, Nebraska!!Percent","Antelope County, Nebraska!!Estimate","Antelope County, Nebraska!!Percent","Arthur County, Nebraska!!Estimate","Arthur County, Nebraska!!Percent","Banner County, Nebraska!!Estimate","Banner County, Nebraska!!Percent","Blaine County, Nebraska!!Estimate","Blaine County, Nebraska!!Percent","Boone County, Nebraska!!Estimate","Boone County, Nebraska!!Percent","Box Butte County, Nebraska!!Estimate","Box Butte County, Nebraska!!Percent","Boyd County, Nebraska!!Estimate","Boyd County, Nebraska!!Percent","Brown County, Nebraska!!Estimate","Brown County, Nebraska!!Percent","Buffalo County, Nebraska!!Estimate","Buffalo County, Nebraska!!Percent","Burt County, Nebraska!!Estimate","Burt County, Nebraska!!Percent","Butler County, Nebraska!!Estimate","Butler County, Nebraska!!Percent","Cass County, Nebraska!!Estimate","Cass County, Nebraska!!Percent","Cedar County, Nebraska!!Estimate","Cedar County, Nebraska!!Percent","Chase County, Nebraska!!Estimate","Chase County, Nebraska!!Percent","Cherry County, Nebraska!!Estimate","Cherry County, Nebraska!!Percent","Cheyenne County, Nebraska!!Estimate","Cheyenne County, Nebraska!!Percent","Clay County, Nebraska!!Estimate","Clay County, Nebraska!!Percent","Colfax County, Nebraska!!Estimate","Colfax County, Nebraska!!Percent","Cuming County, Nebraska!!Estimate","Cuming County, Nebraska!!Percent","Custer County, Nebraska!!Estimate","Custer County, Nebraska!!Percent","Dakota County, Nebraska!!Estimate","Dakota County, Nebraska!!Percent","Dawes County, Nebraska!!Estimate","Dawes County, Nebraska!!Percent","Dawson County, Nebraska!!Estimate","Dawson County, Nebraska!!Percent","Deuel County, Nebraska!!Estimate","Deuel County, Nebraska!!Percent","Dixon County, Nebraska!!Estimate","Dixon County, Nebraska!!Percent","Dodge County, Nebraska!!Estimate","Dodge County, Nebraska!!Percent","Douglas County, Nebraska!!Estimate","Douglas County, Nebraska!!Percent","Dundy County, Nebraska!!Estimate","Dundy County, Nebraska!!Percent","Fillmore County, Nebraska!!Estimate","Fillmore County, Nebraska!!Percent","Franklin County, Nebraska!!Estimate","Franklin County, Nebraska!!Percent","Frontier County, Nebraska!!Estimate","Frontier County, Nebraska!!Percent","Furnas County, Nebraska!!Estimate","Furnas County, Nebraska!!Percent","Gage County, Nebraska!!Estimate","Gage County, Nebraska!!Percent","Garden County, Nebraska!!Estimate","Garden County, Nebraska!!Percent","Garfield County, Nebraska!!Estimate","Garfield County, Nebraska!!Percent","Gosper County, Nebraska!!Estimate","Gosper County, Nebraska!!Percent","Grant County, Nebraska!!Estimate","Grant County, Nebraska!!Percent","Greeley County, Nebraska!!Estimate","Greeley County, Nebraska!!Percent","Hall County, Nebraska!!Estimate","Hall County, Nebraska!!Percent","Hamilton County, Nebraska!!Estimate","Hamilton County, Nebraska!!Percent","Harlan County, Nebraska!!Estimate","Harlan County, Nebraska!!Percent","Hayes County, Nebraska!!Estimate","Hayes County, Nebraska!!Percent","Hitchcock County, Nebraska!!Estimate","Hitchcock County, Nebraska!!Percent","Holt County, Nebraska!!Estimate","Holt County, Nebraska!!Percent","Hooker County, Nebraska!!Estimate","Hooker County, Nebraska!!Percent","Howard County, Nebraska!!Estimate","Howard County, Nebraska!!Percent","Jefferson County, Nebraska!!Estimate","Jefferson County, Nebraska!!Percent","Johnson County, Nebraska!!Estimate","Johnson County, Nebraska!!Percent","Kearney County, Nebraska!!Estimate","Kearney County, Nebraska!!Percent","Keith County, Nebraska!!Estimate","Keith County, Nebraska!!Percent","Keya Paha County, Nebraska!!Estimate","Keya Paha County, Nebraska!!Percent","Kimball County, Nebraska!!Estimate","Kimball County, Nebraska!!Percent","Knox County, Nebraska!!Estimate","Knox County, Nebraska!!Percent","Lancaster County, Nebraska!!Estimate","Lancaster County, Nebraska!!Percent","Lincoln County, Nebraska!!Estimate","Lincoln County, Nebraska!!Percent","Logan County, Nebraska!!Estimate","Logan County, Nebraska!!Percent","Loup County, Nebraska!!Estimate","Loup County, Nebraska!!Percent","McPherson County, Nebraska!!Estimate","McPherson County, Nebraska!!Percent","Madison County, Nebraska!!Estimate","Madison County, Nebraska!!Percent","Merrick County, Nebraska!!Estimate","Merrick County, Nebraska!!Percent","Morrill County, Nebraska!!Estimate","Morrill County, Nebraska!!Percent","Nance County, Nebraska!!Estimate","Nance County, Nebraska!!Percent","Nemaha County, Nebraska!!Estimate","Nemaha County, Nebraska!!Percent","Nuckolls County, Nebraska!!Estimate","Nuckolls County, Nebraska!!Percent","Otoe County, Nebraska!!Estimate","Otoe County, Nebraska!!Percent","Pawnee County, Nebraska!!Estimate","Pawnee County, Nebraska!!Percent","Perkins County, Nebraska!!Estimate","Perkins County, Nebraska!!Percent","Phelps County, Nebraska!!Estimate","Phelps County, Nebraska!!Percent","Pierce County, Nebraska!!Estimate","Pierce County, Nebraska!!Percent","Platte County, Nebraska!!Estimate","Platte County, Nebraska!!Percent","Polk County, Nebraska!!Estimate","Polk County, Nebraska!!Percent","Red Willow County, Nebraska!!Estimate","Red Willow County, Nebraska!!Percent","Richardson County, Nebraska!!Estimate","Richardson County, Nebraska!!Percent","Rock County, Nebraska!!Estimate","Rock County, Nebraska!!Percent","Saline County, Nebraska!!Estimate","Saline County, Nebraska!!Percent","Sarpy County, Nebraska!!Estimate","Sarpy County, Nebraska!!Percent","Saunders County, Nebraska!!Estimate","Saunders County, Nebraska!!Percent","Scotts Bluff County, Nebraska!!Estimate","Scotts Bluff County, Nebraska!!Percent","Seward County, Nebraska!!Estimate","Seward County, Nebraska!!Percent","Sheridan County, Nebraska!!Estimate","Sheridan County, Nebraska!!Percent","Sherman County, Nebraska!!Estimate","Sherman County, Nebraska!!Percent","Sioux County, Nebraska!!Estimate","Sioux County, Nebraska!!Percent","Stanton County, Nebraska!!Estimate","Stanton County, Nebraska!!Percent","Thayer County, Nebraska!!Estimate","Thayer County, Nebraska!!Percent","Thomas County, Nebraska!!Estimate","Thomas County, Nebraska!!Percent","Thurston County, Nebraska!!Estimate","Thurston County, Nebraska!!Percent","Valley County, Nebraska!!Estimate","Valley County, Nebraska!!Percent","Washington County, Nebraska!!Estimate","Washington County, Nebraska!!Percent","Wayne County, Nebraska!!Estimate","Wayne County, Nebraska!!Percent","Webster County, Nebraska!!Estimate","Webster County, Nebraska!!Percent","Wheeler County, Nebraska!!Estimate","Wheeler County, Nebraska!!Percent","York County, Nebraska!!Estimate","York County, Nebraska!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","31,587","31,587","6,341","6,341","427","427","722","722","477","477","5,279","5,279","10,970","10,970","1,937","1,937","3,015","3,015","49,209","49,209","6,510","6,510","8,029","8,029","25,888","25,888","8,498","8,498","3,783","3,783","5,779","5,779","9,604","9,604","6,203","6,203","10,714","10,714","8,952","8,952","10,826","10,826","20,173","20,173","8,810","8,810","23,733","23,733","1,831","1,831","5,719","5,719","36,665","36,665","560,617","560,617","1,913","1,913","5,547","5,547","2,987","2,987","2,640","2,640","4,747","4,747","21,594","21,594","1,864","1,864","2,001","2,001","2,013","2,013","722","722","2,382","2,382","61,265","61,265","9,215","9,215","3,415","3,415","893","893","2,815","2,815","10,177","10,177","693","693","6,417","6,417","7,144","7,144","5,161","5,161","6,529","6,529","8,068","8,068","760","760","3,633","3,633","8,426","8,426","313,158","313,158","35,263","35,263","927","927","605","605","395","395","35,080","35,080","7,798","7,798","4,781","4,781","3,544","3,544","6,973","6,973","4,244","4,244","15,949","15,949","2,649","2,649","2,901","2,901","9,100","9,100","7,144","7,144","33,174","33,174","5,225","5,225","10,768","10,768","7,961","7,961","1,414","1,414","14,270","14,270","181,232","181,232","21,165","21,165","36,074","36,074","17,171","17,171","5,231","5,231","3,033","3,033","1,219","1,219","5,957","5,957","5,057","5,057","645","645","7,181","7,181","4,206","4,206","20,361","20,361","9,332","9,332","3,537","3,537","783","783","13,745","13,745"
"        Male","15,846","50.2%","3,186","50.2%","203","47.5%","350","48.5%","243","50.9%","2,611","49.5%","5,505","50.2%","963","49.7%","1,462","48.5%","24,601","50.0%","3,177","48.8%","4,003","49.9%","13,070","50.5%","4,327","50.9%","1,833","48.5%","2,940","50.9%","4,759","49.6%","3,159","50.9%","5,936","55.4%","4,487","50.1%","5,377","49.7%","10,125","50.2%","4,266","48.4%","12,279","51.7%","875","47.8%","2,909","50.9%","18,022","49.2%","276,459","49.3%","977","51.1%","2,748","49.5%","1,473","49.3%","1,349","51.1%","2,347","49.4%","10,854","50.3%","942","50.5%","1,005","50.2%","1,039","51.6%","387","53.6%","1,172","49.2%","30,884","50.4%","4,575","49.6%","1,733","50.7%","464","52.0%","1,400","49.7%","5,128","50.4%","324","46.8%","3,257","50.8%","3,473","48.6%","3,071","59.5%","3,236","49.6%","4,130","51.2%","366","48.2%","1,816","50.0%","4,177","49.6%","157,231","50.2%","17,300","49.1%","503","54.3%","313","51.7%","204","51.6%","17,447","49.7%","3,916","50.2%","2,426","50.7%","1,779","50.2%","3,486","50.0%","2,114","49.8%","7,817","49.0%","1,262","47.6%","1,500","51.7%","4,562","50.1%","3,555","49.8%","16,998","51.2%","2,546","48.7%","5,346","49.6%","3,973","49.9%","736","52.1%","7,263","50.9%","90,695","50.0%","10,692","50.5%","17,450","48.4%","8,746","50.9%","2,535","48.5%","1,531","50.5%","587","48.2%","2,984","50.1%","2,542","50.3%","289","44.8%","3,566","49.7%","2,048","48.7%","10,058","49.4%","4,742","50.8%","1,787","50.5%","413","52.7%","6,708","48.8%"
"        Female","15,741","49.8%","3,155","49.8%","224","52.5%","372","51.5%","234","49.1%","2,668","50.5%","5,465","49.8%","974","50.3%","1,553","51.5%","24,608","50.0%","3,333","51.2%","4,026","50.1%","12,818","49.5%","4,171","49.1%","1,950","51.5%","2,839","49.1%","4,845","50.4%","3,044","49.1%","4,778","44.6%","4,465","49.9%","5,449","50.3%","10,048","49.8%","4,544","51.6%","11,454","48.3%","956","52.2%","2,810","49.1%","18,643","50.8%","284,158","50.7%","936","48.9%","2,799","50.5%","1,514","50.7%","1,291","48.9%","2,400","50.6%","10,740","49.7%","922","49.5%","996","49.8%","974","48.4%","335","46.4%","1,210","50.8%","30,381","49.6%","4,640","50.4%","1,682","49.3%","429","48.0%","1,415","50.3%","5,049","49.6%","369","53.2%","3,160","49.2%","3,671","51.4%","2,090","40.5%","3,293","50.4%","3,938","48.8%","394","51.8%","1,817","50.0%","4,249","50.4%","155,927","49.8%","17,963","50.9%","424","45.7%","292","48.3%","191","48.4%","17,633","50.3%","3,882","49.8%","2,355","49.3%","1,765","49.8%","3,487","50.0%","2,130","50.2%","8,132","51.0%","1,387","52.4%","1,401","48.3%","4,538","49.9%","3,589","50.2%","16,176","48.8%","2,679","51.3%","5,422","50.4%","3,988","50.1%","678","47.9%","7,007","49.1%","90,537","50.0%","10,473","49.5%","18,624","51.6%","8,425","49.1%","2,696","51.5%","1,502","49.5%","632","51.8%","2,973","49.9%","2,515","49.7%","356","55.2%","3,615","50.3%","2,158","51.3%","10,303","50.6%","4,590","49.2%","1,750","49.5%","370","47.3%","7,037","51.2%"
"        Sex ratio (males per 100 females)","100.7","(X)","101.0","(X)","90.6","(X)","94.1","(X)","103.8","(X)","97.9","(X)","100.7","(X)","98.9","(X)","94.1","(X)","100.0","(X)","95.3","(X)","99.4","(X)","102.0","(X)","103.7","(X)","94.0","(X)","103.6","(X)","98.2","(X)","103.8","(X)","124.2","(X)","100.5","(X)","98.7","(X)","100.8","(X)","93.9","(X)","107.2","(X)","91.5","(X)","103.5","(X)","96.7","(X)","97.3","(X)","104.4","(X)","98.2","(X)","97.3","(X)","104.5","(X)","97.8","(X)","101.1","(X)","102.2","(X)","100.9","(X)","106.7","(X)","115.5","(X)","96.9","(X)","101.7","(X)","98.6","(X)","103.0","(X)","108.2","(X)","98.9","(X)","101.6","(X)","87.8","(X)","103.1","(X)","94.6","(X)","146.9","(X)","98.3","(X)","104.9","(X)","92.9","(X)","99.9","(X)","98.3","(X)","100.8","(X)","96.3","(X)","118.6","(X)","107.2","(X)","106.8","(X)","98.9","(X)","100.9","(X)","103.0","(X)","100.8","(X)","100.0","(X)","99.2","(X)","96.1","(X)","91.0","(X)","107.1","(X)","100.5","(X)","99.1","(X)","105.1","(X)","95.0","(X)","98.6","(X)","99.6","(X)","108.6","(X)","103.7","(X)","100.2","(X)","102.1","(X)","93.7","(X)","103.8","(X)","94.0","(X)","101.9","(X)","92.9","(X)","100.4","(X)","101.1","(X)","81.2","(X)","98.6","(X)","94.9","(X)","97.6","(X)","103.3","(X)","102.1","(X)","111.6","(X)","95.3","(X)"
"        Under 5 years","2,009","6.4%","410","6.5%","15","3.5%","63","8.7%","27","5.7%","329","6.2%","715","6.5%","77","4.0%","154","5.1%","3,351","6.8%","331","5.1%","474","5.9%","1,498","5.8%","562","6.6%","184","4.9%","398","6.9%","650","6.8%","417","6.7%","952","8.9%","556","6.2%","683","6.3%","1,738","8.6%","448","5.1%","2,031","8.6%","105","5.7%","398","7.0%","2,479","6.8%","42,259","7.5%","129","6.7%","270","4.9%","148","5.0%","129","4.9%","280","5.9%","1,247","5.8%","79","4.2%","89","4.4%","77","3.8%","57","7.9%","151","6.3%","4,704","7.7%","564","6.1%","206","6.0%","59","6.6%","162","5.8%","636","6.2%","25","3.6%","390","6.1%","399","5.6%","235","4.6%","420","6.4%","369","4.6%","40","5.3%","141","3.9%","542","6.4%","20,085","6.4%","2,055","5.8%","62","6.7%","39","6.4%","12","3.0%","2,574","7.3%","492","6.3%","290","6.1%","198","5.6%","387","5.5%","223","5.3%","1,096","6.9%","163","6.2%","194","6.7%","526","5.8%","464","6.5%","2,400","7.2%","266","5.1%","603","5.6%","434","5.5%","103","7.3%","921","6.5%","13,303","7.3%","1,300","6.1%","2,403","6.7%","1,012","5.9%","263","5.0%","151","5.0%","121","9.9%","379","6.4%","306","6.1%","35","5.4%","699","9.7%","250","5.9%","1,206","5.9%","477","5.1%","197","5.6%","66","8.4%","857","6.2%"
"        5 to 9 years","2,174","6.9%","413","6.5%","48","11.2%","43","6.0%","27","5.7%","374","7.1%","880","8.0%","85","4.4%","207","6.9%","3,282","6.7%","479","7.4%","531","6.6%","1,880","7.3%","625","7.4%","227","6.0%","326","5.6%","624","6.5%","446","7.2%","807","7.5%","515","5.8%","718","6.6%","1,414","7.0%","395","4.5%","1,690","7.1%","92","5.0%","388","6.8%","2,495","6.8%","40,220","7.2%","133","7.0%","294","5.3%","160","5.4%","153","5.8%","292","6.2%","1,265","5.9%","47","2.5%","108","5.4%","68","3.4%","41","5.7%","128","5.4%","4,535","7.4%","508","5.5%","231","6.8%","67","7.5%","177","6.3%","622","6.1%","21","3.0%","428","6.7%","496","6.9%","283","5.5%","479","7.3%","533","6.6%","29","3.8%","211","5.8%","514","6.1%","19,710","6.3%","2,352","6.7%","46","5.0%","22","3.6%","15","3.8%","2,229","6.4%","469","6.0%","363","7.6%","258","7.3%","422","6.1%","234","5.5%","998","6.3%","157","5.9%","201","6.9%","677","7.4%","517","7.2%","2,275","6.9%","313","6.0%","596","5.5%","505","6.3%","47","3.3%","1,028","7.2%","14,846","8.2%","1,568","7.4%","2,585","7.2%","1,183","6.9%","318","6.1%","161","5.3%","73","6.0%","416","7.0%","346","6.8%","50","7.8%","696","9.7%","266","6.3%","1,382","6.8%","516","5.5%","219","6.2%","47","6.0%","906","6.6%"
"        10 to 14 years","2,088","6.6%","419","6.6%","41","9.6%","28","3.9%","41","8.6%","330","6.3%","733","6.7%","156","8.1%","165","5.5%","3,072","6.2%","411","6.3%","521","6.5%","1,755","6.8%","613","7.2%","311","8.2%","339","5.9%","598","6.2%","415","6.7%","946","8.8%","747","8.3%","730","6.7%","1,787","8.9%","453","5.1%","1,633","6.9%","119","6.5%","392","6.9%","2,383","6.5%","39,013","7.0%","145","7.6%","306","5.5%","150","5.0%","128","4.8%","277","5.8%","1,538","7.1%","169","9.1%","118","5.9%","117","5.8%","47","6.5%","182","7.6%","4,913","8.0%","676","7.3%","242","7.1%","43","4.8%","193","6.9%","853","8.4%","40","5.8%","496","7.7%","387","5.4%","265","5.1%","465","7.1%","470","5.8%","57","7.5%","292","8.0%","626","7.4%","20,577","6.6%","2,458","7.0%","88","9.5%","12","2.0%","24","6.1%","2,643","7.5%","473","6.1%","290","6.1%","187","5.3%","397","5.7%","281","6.6%","1,084","6.8%","140","5.3%","202","7.0%","565","6.2%","490","6.9%","2,618","7.9%","399","7.6%","762","7.1%","457","5.7%","73","5.2%","1,037","7.3%","13,762","7.6%","1,388","6.6%","2,531","7.0%","1,105","6.4%","337","6.4%","206","6.8%","48","3.9%","440","7.4%","317","6.3%","23","3.6%","785","10.9%","260","6.2%","1,473","7.2%","548","5.9%","265","7.5%","23","2.9%","859","6.2%"
"        15 to 19 years","2,516","8.0%","366","5.8%","17","4.0%","36","5.0%","12","2.5%","293","5.6%","651","5.9%","86","4.4%","111","3.7%","3,968","8.1%","350","5.4%","560","7.0%","1,659","6.4%","499","5.9%","198","5.2%","403","7.0%","597","6.2%","352","5.7%","662","6.2%","556","6.2%","586","5.4%","1,320","6.5%","1,195","13.6%","1,665","7.0%","70","3.8%","350","6.1%","2,342","6.4%","37,240","6.6%","89","4.7%","330","5.9%","142","4.8%","220","8.3%","307","6.5%","1,261","5.8%","97","5.2%","105","5.2%","105","5.2%","59","8.2%","151","6.3%","4,089","6.7%","638","6.9%","189","5.5%","26","2.9%","189","6.7%","491","4.8%","46","6.6%","373","5.8%","413","5.8%","237","4.6%","416","6.4%","352","4.4%","95","12.5%","174","4.8%","430","5.1%","23,153","7.4%","2,300","6.5%","86","9.3%","22","3.6%","17","4.3%","2,384","6.8%","461","5.9%","318","6.7%","223","6.3%","647","9.3%","237","5.6%","895","5.6%","165","6.2%","154","5.3%","563","6.2%","433","6.1%","2,225","6.7%","356","6.8%","866","8.0%","479","6.0%","81","5.7%","1,178","8.3%","12,072","6.7%","1,363","6.4%","2,395","6.6%","1,573","9.2%","359","6.9%","162","5.3%","26","2.1%","361","6.1%","233","4.6%","37","5.7%","602","8.4%","243","5.8%","1,366","6.7%","1,426","15.3%","192","5.4%","24","3.1%","841","6.1%"
"        20 to 24 years","2,242","7.1%","336","5.3%","20","4.7%","24","3.3%","9","1.9%","290","5.5%","564","5.1%","80","4.1%","140","4.6%","5,330","10.8%","307","4.7%","399","5.0%","1,342","5.2%","472","5.6%","188","5.0%","265","4.6%","467","4.9%","358","5.8%","672","6.3%","512","5.7%","585","5.4%","1,457","7.2%","1,114","12.6%","1,439","6.1%","92","5.0%","324","5.7%","2,401","6.5%","36,772","6.6%","114","6.0%","281","5.1%","144","4.8%","193","7.3%","231","4.9%","1,071","5.0%","31","1.7%","112","5.6%","70","3.5%","52","7.2%","110","4.6%","3,729","6.1%","510","5.5%","195","5.7%","43","4.8%","82","2.9%","558","5.5%","50","7.2%","265","4.1%","299","4.2%","367","7.1%","330","5.1%","369","4.6%","32","4.2%","146","4.0%","477","5.7%","35,397","11.3%","1,724","4.9%","28","3.0%","48","7.9%","4","1.0%","2,334","6.7%","398","5.1%","156","3.3%","152","4.3%","531","7.6%","198","4.7%","1,029","6.5%","98","3.7%","145","5.0%","488","5.4%","398","5.6%","1,886","5.7%","253","4.8%","581","5.4%","310","3.9%","92","6.5%","1,236","8.7%","11,334","6.3%","1,085","5.1%","2,005","5.6%","1,439","8.4%","238","4.5%","134","4.4%","114","9.4%","298","5.0%","272","5.4%","27","4.2%","532","7.4%","194","4.6%","1,126","5.5%","1,027","11.0%","208","5.9%","16","2.0%","972","7.1%"
