"Label","Adair County, Oklahoma!!Estimate","Adair County, Oklahoma!!Percent","Alfalfa County, Oklahoma!!Estimate","Alfalfa County, Oklahoma!!Percent","Atoka County, Oklahoma!!Estimate","Atoka County, Oklahoma!!Percent","Beaver County, Oklahoma!!Estimate","Beaver County, Oklahoma!!Percent","Beckham County, Oklahoma!!Estimate","Beckham County, Oklahoma!!Percent","Blaine County, Oklahoma!!Estimate","Blaine County, Oklahoma!!Percent","Bryan County, Oklahoma!!Estimate","Bryan County, Oklahoma!!Percent","Caddo County, Oklahoma!!Estimate","Caddo County, Oklahoma!!Percent","Canadian County, Oklahoma!!Estimate","Canadian County, Oklahoma!!Percent","Carter County, Oklahoma!!Estimate","Carter County, Oklahoma!!Percent","Cherokee County, Oklahoma!!Estimate","Cherokee County, Oklahoma!!Percent","Choctaw County, Oklahoma!!Estimate","Choctaw County, Oklahoma!!Percent","Cimarron County, Oklahoma!!Estimate","Cimarron County, Oklahoma!!Percent","Cleveland County, Oklahoma!!Estimate","Cleveland County, Oklahoma!!Percent","Coal County, Oklahoma!!Estimate","Coal County, Oklahoma!!Percent","Comanche County, Oklahoma!!Estimate","Comanche County, Oklahoma!!Percent","Cotton County, Oklahoma!!Estimate","Cotton County, Oklahoma!!Percent","Craig County, Oklahoma!!Estimate","Craig County, Oklahoma!!Percent","Creek County, Oklahoma!!Estimate","Creek County, Oklahoma!!Percent","Custer County, Oklahoma!!Estimate","Custer County, Oklahoma!!Percent","Delaware County, Oklahoma!!Estimate","Delaware County, Oklahoma!!Percent","Dewey County, Oklahoma!!Estimate","Dewey County, Oklahoma!!Percent","Ellis County, Oklahoma!!Estimate","Ellis County, Oklahoma!!Percent","Garfield County, Oklahoma!!Estimate","Garfield County, Oklahoma!!Percent","Garvin County, Oklahoma!!Estimate","Garvin County, Oklahoma!!Percent","Grady County, Oklahoma!!Estimate","Grady County, Oklahoma!!Percent","Grant County, Oklahoma!!Estimate","Grant County, Oklahoma!!Percent","Greer County, Oklahoma!!Estimate","Greer County, Oklahoma!!Percent","Harmon County, Oklahoma!!Estimate","Harmon County, Oklahoma!!Percent","Harper County, Oklahoma!!Estimate","Harper County, Oklahoma!!Percent","Haskell County, Oklahoma!!Estimate","Haskell County, Oklahoma!!Percent","Hughes County, Oklahoma!!Estimate","Hughes County, Oklahoma!!Percent","Jackson County, Oklahoma!!Estimate","Jackson County, Oklahoma!!Percent","Jefferson County, Oklahoma!!Estimate","Jefferson County, Oklahoma!!Percent","Johnston County, Oklahoma!!Estimate","Johnston County, Oklahoma!!Percent","Kay County, Oklahoma!!Estimate","Kay County, Oklahoma!!Percent","Kingfisher County, Oklahoma!!Estimate","Kingfisher County, Oklahoma!!Percent","Kiowa County, Oklahoma!!Estimate","Kiowa County, Oklahoma!!Percent","Latimer County, Oklahoma!!Estimate","Latimer County, Oklahoma!!Percent","Le Flore County, Oklahoma!!Estimate","Le Flore County, Oklahoma!!Percent","Lincoln County, Oklahoma!!Estimate","Lincoln County, Oklahoma!!Percent","Logan County, Oklahoma!!Estimate","Logan County, Oklahoma!!Percent","Love County, Oklahoma!!Estimate","Love County, Oklahoma!!Percent","McClain County, Oklahoma!!Estimate","McClain County, Oklahoma!!Percent","McCurtain County, Oklahoma!!Estimate","McCurtain County, Oklahoma!!Percent","McIntosh County, Oklahoma!!Estimate","McIntosh County, Oklahoma!!Percent","Major County, Oklahoma!!Estimate","Major County, Oklahoma!!Percent","Marshall County, Oklahoma!!Estimate","Marshall County, Oklahoma!!Percent","Mayes County, Oklahoma!!Estimate","Mayes County, Oklahoma!!Percent","Murray County, Oklahoma!!Estimate","Murray County, Oklahoma!!Percent","Muskogee County, Oklahoma!!Estimate","Muskogee County, Oklahoma!!Percent","Noble County, Oklahoma!!Estimate","Noble County, Oklahoma!!Percent","Nowata County, Oklahoma!!Estimate","Nowata County, Oklahoma!!Percent","Okfuskee County, Oklahoma!!Estimate","Okfuskee County, Oklahoma!!Percent","Oklahoma County, Oklahoma!!Estimate","Oklahoma County, Oklahoma!!Percent","Okmulgee County, Oklahoma!!Estimate","Okmulgee County, Oklahoma!!Percent","Osage County, Oklahoma!!Estimate","Osage County, Oklahoma!!Percent","Ottawa County, Oklahoma!!Estimate","Ottawa County, Oklahoma!!Percent","Pawnee County, Oklahoma!!Estimate","Pawnee County, Oklahoma!!Percent","Payne County, Oklahoma!!Estimate","Payne County, Oklahoma!!Percent","Pittsburg County, Oklahoma!!Estimate","Pittsburg County, Oklahoma!!Percent","Pontotoc County, Oklahoma!!Estimate","Pontotoc County, Oklahoma!!Percent","Pottawatomie County, Oklahoma!!Estimate","Pottawatomie County, Oklahoma!!Percent","Pushmataha County, Oklahoma!!Estimate","Pushmataha County, Oklahoma!!Percent","Roger Mills County, Oklahoma!!Estimate","Roger Mills County, Oklahoma!!Percent","Rogers County, Oklahoma!!Estimate","Rogers County, Oklahoma!!Percent","Seminole County, Oklahoma!!Estimate","Seminole County, Oklahoma!!Percent","Sequoyah County, Oklahoma!!Estimate","Sequoyah County, Oklahoma!!Percent","Stephens County, Oklahoma!!Estimate","Stephens County, Oklahoma!!Percent","Texas County, Oklahoma!!Estimate","Texas County, Oklahoma!!Percent","Tillman County, Oklahoma!!Estimate","Tillman County, Oklahoma!!Percent","Tulsa County, Oklahoma!!Estimate","Tulsa County, Oklahoma!!Percent","Wagoner County, Oklahoma!!Estimate","Wagoner County, Oklahoma!!Percent","Washington County, Oklahoma!!Estimate","Washington County, Oklahoma!!Percent","Washita County, Oklahoma!!Estimate","Washita County, Oklahoma!!Percent","Woods County, Oklahoma!!Estimate","Woods County, Oklahoma!!Percent","Woodward County, Oklahoma!!Estimate","Woodward County, Oklahoma!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","22,220","22,220","5,847","5,847","13,823","13,823","5,377","5,377","22,268","22,268","9,556","9,556","46,457","46,457","29,242","29,242","140,455","140,455","48,319","48,319","48,664","48,664","14,807","14,807","2,174","2,174","279,274","279,274","5,581","5,581","121,762","121,762","5,858","5,858","14,390","14,390","71,427","71,427","29,152","29,152","42,433","42,433","4,922","4,922","4,015","4,015","61,898","61,898","27,835","27,835","55,071","55,071","4,397","4,397","5,861","5,861","2,710","2,710","3,760","3,760","12,687","12,687","13,372","13,372","25,063","25,063","6,158","6,158","11,064","11,064","44,402","44,402","15,694","15,694","8,886","8,886","10,348","10,348","50,026","50,026","34,895","34,895","46,683","46,683","10,063","10,063","39,247","39,247","33,016","33,016","19,725","19,725","7,692","7,692","16,505","16,505","41,044","41,044","13,946","13,946","68,736","68,736","11,335","11,335","10,322","10,322","12,067","12,067","787,216","787,216","38,749","38,749","47,226","47,226","31,454","31,454","16,412","16,412","81,815","81,815","44,146","44,146","38,355","38,355","72,154","72,154","11,128","11,128","3,667","3,667","91,353","91,353","24,832","24,832","41,709","41,709","43,647","43,647","20,805","20,805","7,413","7,413","646,419","646,419","78,958","78,958","51,886","51,886","11,225","11,225","9,043","9,043","20,727","20,727"
"        Male","11,053","49.7%","3,531","60.4%","7,289","52.7%","2,703","50.3%","12,115","54.4%","5,091","53.3%","22,558","48.6%","15,363","52.5%","69,761","49.7%","23,642","48.9%","23,831","49.0%","7,094","47.9%","1,065","49.0%","139,416","49.9%","2,813","50.4%","63,105","51.8%","2,962","50.6%","7,352","51.1%","35,298","49.4%","14,290","49.0%","20,908","49.3%","2,435","49.5%","1,930","48.1%","30,940","50.0%","13,796","49.6%","27,629","50.2%","2,212","50.3%","3,431","58.5%","1,327","49.0%","1,856","49.4%","6,285","49.5%","7,120","53.2%","12,558","50.1%","3,102","50.4%","5,452","49.3%","22,077","49.7%","7,865","50.1%","4,440","50.0%","5,260","50.8%","25,079","50.1%","17,381","49.8%","23,132","49.6%","5,024","49.9%","19,461","49.6%","16,326","49.4%","9,749","49.4%","3,804","49.5%","8,173","49.5%","20,458","49.8%","7,021","50.3%","33,515","48.8%","5,601","49.4%","5,091","49.3%","6,487","53.8%","385,353","49.0%","19,163","49.5%","23,662","50.1%","15,456","49.1%","8,225","50.1%","41,976","51.3%","22,433","50.8%","18,832","49.1%","34,523","47.8%","5,436","48.8%","1,800","49.1%","45,473","49.8%","12,172","49.0%","20,574","49.3%","21,168","48.5%","11,095","53.3%","3,782","51.0%","315,509","48.8%","39,025","49.4%","25,270","48.7%","5,622","50.1%","4,767","52.7%","10,955","52.9%"
"        Female","11,167","50.3%","2,316","39.6%","6,534","47.3%","2,674","49.7%","10,153","45.6%","4,465","46.7%","23,899","51.4%","13,879","47.5%","70,694","50.3%","24,677","51.1%","24,833","51.0%","7,713","52.1%","1,109","51.0%","139,858","50.1%","2,768","49.6%","58,657","48.2%","2,896","49.4%","7,038","48.9%","36,129","50.6%","14,862","51.0%","21,525","50.7%","2,487","50.5%","2,085","51.9%","30,958","50.0%","14,039","50.4%","27,442","49.8%","2,185","49.7%","2,430","41.5%","1,383","51.0%","1,904","50.6%","6,402","50.5%","6,252","46.8%","12,505","49.9%","3,056","49.6%","5,612","50.7%","22,325","50.3%","7,829","49.9%","4,446","50.0%","5,088","49.2%","24,947","49.9%","17,514","50.2%","23,551","50.4%","5,039","50.1%","19,786","50.4%","16,690","50.6%","9,976","50.6%","3,888","50.5%","8,332","50.5%","20,586","50.2%","6,925","49.7%","35,221","51.2%","5,734","50.6%","5,231","50.7%","5,580","46.2%","401,863","51.0%","19,586","50.5%","23,564","49.9%","15,998","50.9%","8,187","49.9%","39,839","48.7%","21,713","49.2%","19,523","50.9%","37,631","52.2%","5,692","51.2%","1,867","50.9%","45,880","50.2%","12,660","51.0%","21,135","50.7%","22,479","51.5%","9,710","46.7%","3,631","49.0%","330,910","51.2%","39,933","50.6%","26,616","51.3%","5,603","49.9%","4,276","47.3%","9,772","47.1%"
"        Sex ratio (males per 100 females)","99.0","(X)","152.5","(X)","111.6","(X)","101.1","(X)","119.3","(X)","114.0","(X)","94.4","(X)","110.7","(X)","98.7","(X)","95.8","(X)","96.0","(X)","92.0","(X)","96.0","(X)","99.7","(X)","101.6","(X)","107.6","(X)","102.3","(X)","104.5","(X)","97.7","(X)","96.2","(X)","97.1","(X)","97.9","(X)","92.6","(X)","99.9","(X)","98.3","(X)","100.7","(X)","101.2","(X)","141.2","(X)","96.0","(X)","97.5","(X)","98.2","(X)","113.9","(X)","100.4","(X)","101.5","(X)","97.1","(X)","98.9","(X)","100.5","(X)","99.9","(X)","103.4","(X)","100.5","(X)","99.2","(X)","98.2","(X)","99.7","(X)","98.4","(X)","97.8","(X)","97.7","(X)","97.8","(X)","98.1","(X)","99.4","(X)","101.4","(X)","95.2","(X)","97.7","(X)","97.3","(X)","116.3","(X)","95.9","(X)","97.8","(X)","100.4","(X)","96.6","(X)","100.5","(X)","105.4","(X)","103.3","(X)","96.5","(X)","91.7","(X)","95.5","(X)","96.4","(X)","99.1","(X)","96.1","(X)","97.3","(X)","94.2","(X)","114.3","(X)","104.2","(X)","95.3","(X)","97.7","(X)","94.9","(X)","100.3","(X)","111.5","(X)","112.1","(X)"
"        Under 5 years","1,622","7.3%","312","5.3%","795","5.8%","314","5.8%","1,590","7.1%","518","5.4%","3,016","6.5%","2,018","6.9%","9,580","6.8%","3,294","6.8%","2,891","5.9%","1,000","6.8%","146","6.7%","15,187","5.4%","367","6.6%","8,547","7.0%","278","4.7%","797","5.5%","4,463","6.2%","2,131","7.3%","2,168","5.1%","323","6.6%","242","6.0%","4,432","7.2%","1,868","6.7%","3,190","5.8%","244","5.5%","314","5.4%","110","4.1%","252","6.7%","807","6.4%","754","5.6%","1,961","7.8%","405","6.6%","672","6.1%","2,961","6.7%","1,079","6.9%","545","6.1%","588","5.7%","3,206","6.4%","2,088","6.0%","2,778","6.0%","629","6.3%","2,304","5.9%","2,346","7.1%","1,022","5.2%","513","6.7%","955","5.8%","2,453","6.0%","834","6.0%","4,580","6.7%","711","6.3%","614","5.9%","685","5.7%","59,490","7.6%","2,386","6.2%","2,407","5.1%","2,159","6.9%","946","5.8%","4,355","5.3%","2,603","5.9%","2,530","6.6%","4,467","6.2%","637","5.7%","232","6.3%","5,329","5.8%","1,631","6.6%","2,653","6.4%","2,575","5.9%","1,764","8.5%","423","5.7%","46,400","7.2%","4,769","6.0%","3,269","6.3%","738","6.6%","558","6.2%","1,496","7.2%"
"        5 to 9 years","1,677","7.5%","297","5.1%","886","6.4%","393","7.3%","1,343","6.0%","612","6.4%","3,061","6.6%","2,001","6.8%","10,733","7.6%","3,216","6.7%","3,008","6.2%","926","6.3%","158","7.3%","17,039","6.1%","343","6.1%","8,155","6.7%","327","5.6%","907","6.3%","4,512","6.3%","2,367","8.1%","2,398","5.7%","424","8.6%","266","6.6%","4,041","6.5%","1,861","6.7%","3,449","6.3%","326","7.4%","373","6.4%","266","9.8%","328","8.7%","774","6.1%","777","5.8%","1,806","7.2%","406","6.6%","767","6.9%","2,907","6.5%","1,214","7.7%","626","7.0%","558","5.4%","3,348","6.7%","2,483","7.1%","2,907","6.2%","664","6.6%","3,121","8.0%","2,286","6.9%","1,082","5.5%","649","8.4%","1,003","6.1%","2,868","7.0%","822","5.9%","4,787","7.0%","828","7.3%","730","7.1%","840","7.0%","55,616","7.1%","2,469","6.4%","2,865","6.1%","2,153","6.8%","1,019","6.2%","4,454","5.4%","2,884","6.5%","2,426","6.3%","4,820","6.7%","641","5.8%","262","7.1%","5,758","6.3%","1,597","6.4%","2,491","6.0%","2,898","6.6%","1,625","7.8%","519","7.0%","45,147","7.0%","5,466","6.9%","3,494","6.7%","800","7.1%","529","5.8%","1,639","7.9%"
"        10 to 14 years","1,714","7.7%","337","5.8%","863","6.2%","444","8.3%","1,781","8.0%","524","5.5%","3,002","6.5%","2,079","7.1%","10,348","7.4%","3,561","7.4%","3,101","6.4%","1,112","7.5%","163","7.5%","17,716","6.3%","421","7.5%","7,754","6.4%","481","8.2%","922","6.4%","5,094","7.1%","1,689","5.8%","2,528","6.0%","377","7.7%","272","6.8%","4,622","7.5%","2,018","7.2%","4,277","7.8%","301","6.8%","308","5.3%","182","6.7%","238","6.3%","927","7.3%","873","6.5%","1,619","6.5%","436","7.1%","754","6.8%","3,392","7.6%","1,261","8.0%","581","6.5%","669","6.5%","3,557","7.1%","2,404","6.9%","3,237","6.9%","767","7.6%","2,892","7.4%","2,405","7.3%","1,121","5.7%","519","6.7%","1,215","7.4%","2,606","6.3%","1,014","7.3%","4,679","6.8%","786","6.9%","625","6.1%","811","6.7%","55,748","7.1%","2,737","7.1%","3,215","6.8%","2,214","7.0%","1,235","7.5%","4,338","5.3%","2,700","6.1%","2,586","6.7%","4,907","6.8%","779","7.0%","309","8.4%","6,529","7.1%","1,861","7.5%","2,960","7.1%","2,861","6.6%","1,636","7.9%","506","6.8%","45,722","7.1%","5,699","7.2%","3,538","6.8%","799","7.1%","489","5.4%","1,291","6.2%"
"        15 to 19 years","1,536","6.9%","270","4.6%","848","6.1%","333","6.2%","1,419","6.4%","464","4.9%","3,179","6.8%","1,964","6.7%","9,220","6.6%","3,228","6.7%","3,755","7.7%","860","5.8%","93","4.3%","20,752","7.4%","362","6.5%","8,954","7.4%","446","7.6%","874","6.1%","4,616","6.5%","2,400","8.2%","2,520","5.9%","398","8.1%","252","6.3%","3,897","6.3%","1,944","7.0%","4,020","7.3%","311","7.1%","302","5.2%","148","5.5%","263","7.0%","833","6.6%","796","6.0%","1,588","6.3%","419","6.8%","756","6.8%","2,960","6.7%","1,074","6.8%","534","6.0%","819","7.9%","3,279","6.6%","2,363","6.8%","3,585","7.7%","725","7.2%","2,666","6.8%","2,132","6.5%","1,033","5.2%","471","6.1%","1,040","6.3%","2,738","6.7%","822","5.9%","4,642","6.8%","657","5.8%","625","6.1%","706","5.9%","49,493","6.3%","2,787","7.2%","3,079","6.5%","2,381","7.6%","1,078","6.6%","8,126","9.9%","2,453","5.6%","2,753","7.2%","5,265","7.3%","689","6.2%","194","5.3%","6,318","6.9%","1,867","7.5%","2,754","6.6%","2,835","6.5%","1,613","7.8%","529","7.1%","42,027","6.5%","5,249","6.6%","3,263","6.3%","766","6.8%","688","7.6%","1,258","6.1%"
"        20 to 24 years","1,354","6.1%","260","4.4%","790","5.7%","339","6.3%","1,363","6.1%","413","4.3%","3,134","6.7%","1,590","5.4%","7,608","5.4%","2,780","5.8%","5,474","11.2%","764","5.2%","55","2.5%","30,703","11.0%","345","6.2%","11,023","9.1%","357","6.1%","795","5.5%","4,071","5.7%","3,593","12.3%","2,165","5.1%","176","3.6%","169","4.2%","4,352","7.0%","1,493","5.4%","2,899","5.3%","213","4.8%","357","6.1%","106","3.9%","117","3.1%","676","5.3%","882","6.6%","2,024","8.1%","270","4.4%","664","6.0%","2,681","6.0%","893","5.7%","431","4.9%","675","6.5%","2,856","5.7%","1,798","5.2%","3,404","7.3%","546","5.4%","2,131","5.4%","1,981","6.0%","1,033","5.2%","343","4.5%","955","5.8%","2,411","5.9%","762","5.5%","4,413","6.4%","626","5.5%","545","5.3%","745","6.2%","52,947","6.7%","2,621","6.8%","2,495","5.3%","2,048","6.5%","852","5.2%","16,532","20.2%","2,459","5.6%","3,163","8.2%","4,869","6.7%","513","4.6%","195","5.3%","5,801","6.4%","1,503","6.1%","2,447","5.9%","2,256","5.2%","1,525","7.3%","417","5.6%","42,238","6.5%","4,187","5.3%","2,855","5.5%","579","5.2%","1,165","12.9%","1,284","6.2%"
