"Label","Beaver County, Utah!!Estimate","Beaver County, Utah!!Percent","Box Elder County, Utah!!Estimate","Box Elder County, Utah!!Percent","Cache County, Utah!!Estimate","Cache County, Utah!!Percent","Carbon County, Utah!!Estimate","Carbon County, Utah!!Percent","Daggett County, Utah!!Estimate","Daggett County, Utah!!Percent","Davis County, Utah!!Estimate","Davis County, Utah!!Percent","Duchesne County, Utah!!Estimate","Duchesne County, Utah!!Percent","Emery County, Utah!!Estimate","Emery County, Utah!!Percent","Garfield County, Utah!!Estimate","Garfield County, Utah!!Percent","Grand County, Utah!!Estimate","Grand County, Utah!!Percent","Iron County, Utah!!Estimate","Iron County, Utah!!Percent","Juab County, Utah!!Estimate","Juab County, Utah!!Percent","Kane County, Utah!!Estimate","Kane County, Utah!!Percent","Millard County, Utah!!Estimate","Millard County, Utah!!Percent","Morgan County, Utah!!Estimate","Morgan County, Utah!!Percent","Piute County, Utah!!Estimate","Piute County, Utah!!Percent","Rich County, Utah!!Estimate","Rich County, Utah!!Percent","Salt Lake County, Utah!!Estimate","Salt Lake County, Utah!!Percent","San Juan County, Utah!!Estimate","San Juan County, Utah!!Percent","Sanpete County, Utah!!Estimate","Sanpete County, Utah!!Percent","Sevier County, Utah!!Estimate","Sevier County, Utah!!Percent","Summit County, Utah!!Estimate","Summit County, Utah!!Percent","Tooele County, Utah!!Estimate","Tooele County, Utah!!Percent","Uintah County, Utah!!Estimate","Uintah County, Utah!!Percent","Utah County, Utah!!Estimate","Utah County, Utah!!Percent","Wasatch County, Utah!!Estimate","Wasatch County, Utah!!Percent","Washington County, Utah!!Estimate","Washington County, Utah!!Percent","Wayne County, Utah!!Estimate","Wayne County, Utah!!Percent","Weber County, Utah!!Estimate","Weber County, Utah!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","6,517","6,517","53,946","53,946","124,165","124,165","20,308","20,308","613","613","345,767","345,767","20,148","20,148","10,117","10,117","4,998","4,998","9,640","9,640","51,213","51,213","11,301","11,301","7,484","7,484","12,854","12,854","11,664","11,664","1,866","1,866","2,389","2,389","1,133,646","1,133,646","15,302","15,302","29,850","29,850","21,280","21,280","41,103","41,103","67,397","67,397","36,084","36,084","605,490","605,490","31,708","31,708","165,811","165,811","2,689","2,689","251,498","251,498"
"        Male","3,362","51.6%","27,550","51.1%","62,182","50.1%","10,170","50.1%","348","56.8%","174,378","50.4%","10,280","51.0%","5,168","51.1%","2,524","50.5%","4,934","51.2%","25,373","49.5%","5,705","50.5%","3,765","50.3%","6,602","51.4%","5,983","51.3%","1,016","54.4%","1,126","47.1%","569,053","50.2%","7,625","49.8%","15,722","52.7%","10,881","51.1%","20,964","51.0%","33,981","50.4%","18,302","50.7%","305,954","50.5%","16,233","51.2%","81,947","49.4%","1,386","51.5%","126,354","50.2%"
"        Female","3,155","48.4%","26,396","48.9%","61,983","49.9%","10,138","49.9%","265","43.2%","171,389","49.6%","9,868","49.0%","4,949","48.9%","2,474","49.5%","4,706","48.8%","25,840","50.5%","5,596","49.5%","3,719","49.7%","6,252","48.6%","5,681","48.7%","850","45.6%","1,263","52.9%","564,593","49.8%","7,677","50.2%","14,128","47.3%","10,399","48.9%","20,139","49.0%","33,416","49.6%","17,782","49.3%","299,536","49.5%","15,475","48.8%","83,864","50.6%","1,303","48.5%","125,144","49.8%"
"        Sex ratio (males per 100 females)","106.6","(X)","104.4","(X)","100.3","(X)","100.3","(X)","131.3","(X)","101.7","(X)","104.2","(X)","104.4","(X)","102.0","(X)","104.8","(X)","98.2","(X)","101.9","(X)","101.2","(X)","105.6","(X)","105.3","(X)","119.5","(X)","89.2","(X)","100.8","(X)","99.3","(X)","111.3","(X)","104.6","(X)","104.1","(X)","101.7","(X)","102.9","(X)","102.1","(X)","104.9","(X)","97.7","(X)","106.4","(X)","101.0","(X)"
"        Under 5 years","611","9.4%","4,395","8.1%","10,791","8.7%","1,220","6.0%","24","3.9%","29,789","8.6%","1,933","9.6%","655","6.5%","313","6.3%","481","5.0%","4,085","8.0%","967","8.6%","432","5.8%","1,025","8.0%","973","8.3%","108","5.8%","145","6.1%","86,358","7.6%","1,201","7.8%","1,817","6.1%","1,515","7.1%","2,007","4.9%","5,504","8.2%","3,187","8.8%","57,964","9.6%","2,423","7.6%","11,242","6.8%","170","6.3%","19,550","7.8%"
"        5 to 9 years","485","7.4%","5,061","9.4%","10,564","8.5%","1,556","7.7%","40","6.5%","32,320","9.3%","1,928","9.6%","936","9.3%","318","6.4%","678","7.0%","4,425","8.6%","1,209","10.7%","440","5.9%","1,015","7.9%","1,103","9.5%","87","4.7%","204","8.5%","88,324","7.8%","1,357","8.9%","1,847","6.2%","1,922","9.0%","2,767","6.7%","6,273","9.3%","3,886","10.8%","57,483","9.5%","3,064","9.7%","12,728","7.7%","156","5.8%","19,669","7.8%"
"        10 to 14 years","654","10.0%","4,942","9.2%","10,517","8.5%","1,612","7.9%","50","8.2%","32,067","9.3%","1,889","9.4%","896","8.9%","336","6.7%","583","6.0%","3,817","7.5%","1,058","9.4%","511","6.8%","1,302","10.1%","1,354","11.6%","171","9.2%","227","9.5%","86,216","7.6%","1,335","8.7%","2,469","8.3%","1,772","8.3%","3,505","8.5%","6,737","10.0%","3,125","8.7%","56,958","9.4%","2,862","9.0%","12,507","7.5%","258","9.6%","20,717","8.2%"
"        15 to 19 years","580","8.9%","4,256","7.9%","11,513","9.3%","1,610","7.9%","56","9.1%","27,341","7.9%","1,529","7.6%","791","7.8%","438","8.8%","453","4.7%","4,563","8.9%","1,001","8.9%","561","7.5%","965","7.5%","1,056","9.1%","165","8.8%","195","8.2%","78,852","7.0%","1,380","9.0%","3,238","10.8%","1,673","7.9%","2,998","7.3%","5,623","8.3%","2,690","7.5%","56,851","9.4%","2,465","7.8%","12,063","7.3%","245","9.1%","18,060","7.2%"
"        20 to 24 years","358","5.5%","3,413","6.3%","18,110","14.6%","1,228","6.0%","41","6.7%","22,625","6.5%","1,090","5.4%","527","5.2%","146","2.9%","534","5.5%","5,674","11.1%","723","6.4%","215","2.9%","679","5.3%","706","6.1%","35","1.9%","159","6.7%","79,298","7.0%","965","6.3%","2,803","9.4%","1,184","5.6%","2,478","6.0%","4,108","6.1%","2,290","6.3%","76,764","12.7%","1,895","6.0%","10,416","6.3%","83","3.1%","17,861","7.1%"
